trade_id,symbol,side,strategy_id,regime,order_type,entry_price,exit_price,qty,gross_pnl,fee_entry,fee_exit,slippage_cost,net_pnl,net_pnl_pct,r_multiple,entry_ts,exit_ts
a4fa2728,ENSOUSDT,LONG,ALPHA_TCB_v1,TRENDING,LIMIT,1.1326601,1.129,107.303157,-0.3927402849357059,0.024307600907587143,0.0242290528506,0.0,-0.44127693869389306,-0.36307732743477544,-0.15051913179857865,1777201559983,1777201650803
791e6b9c,TRUMPUSDT,SHORT,MR_BB_RSI_v1,MEAN_REVERTING,LIMIT,2.6868058,2.688,24.095864,-0.02877528078880082,0.01294818143024224,0.0129539364864,0.0,-0.05467739870544306,-0.0844557191293853,-0.031680513764090076,1777201801646,1777201859864
c9741859,ETHUSDT,LONG,ALPHA_TCB_v1,TRENDING,LIMIT,2334.79,2334.09,0.0277185,-0.019402949999994958,0.012943375323000002,0.012939494733000002,0.0,-0.04528582005599496,-0.069975286856626,-0.026240479809940296,1777201922773,1777202091733
57a460e6,AXSUSDT,SHORT,TF_EMA_RSI_v1,TRENDING,LIMIT,1.398,1.397,46.193711,0.04619371099999491,0.012915761595600001,0.0129065228534,0.0,0.02037142655099491,0.03154506437767452,0.011804048297018723,1777201981844,1777202160321
15c28c02,CHIPUSDT,LONG,ALPHA_TCB_v1,TRENDING,LIMIT,0.068739372,0.06837,941.206941,-0.3476554902110583,0.012939594809276212,0.012870063711234,0.0,-0.3734651487315685,-0.5772439620193309,-0.21640117553109775,1777202040555,1777202238285
02c7ef07,RAYUSDT,SHORT,ALPHA_TCB_v1,TRENDING,LIMIT,0.776,0.769,50.865597,0.35605917900000034,0.007894340654400001,0.0078231288186,0.0,0.3403417095270003,0.862242268041238,0.1972080829337121,1777202040753,1777202274333
57b7d92b,KATUSDT,SHORT,ALPHA_PBE_v1,TRENDING,LIMIT,0.01275,0.01275,10135.166238,0.0,0.0258446739069,0.0258446739069,0.0,-0.0516893478138,-0.04,-0.029952684599756623,1777204034308,1777204490099
bd916940,HYPERUSDT,SHORT,ALPHA_PBE_v1,TRENDING,LIMIT,0.12723816000000002,0.1272,1017.500573,0.03882782186568946,0.02589298014149314,0.02588521457712,0.0,-0.012950372852923678,-0.010002999100262613,-0.007504417252664819,1777204083060,1777204291924
914f5e65,ENSOUSDT,SHORT,MR_BB_RSI_v1,MEAN_REVERTING,LIMIT,1.0823246,1.076,119.617443,0.7565324799977883,0.025892980229599558,0.0257416737336,0.0,0.7048978260345887,0.5444702153124769,0.4084706646778633,1777204139899,1777204286546
38263b44,SAHARAUSDT,SHORT,MR_BB_RSI_v1,MEAN_REVERTING,LIMIT,0.024317292999999997,0.02426,5323.984897,0.30502706670380214,0.025892980133584764,0.025831974720244,0.0,0.25330211184997337,0.19565311566545032,0.14678224016339653,1777204200173,1777204316359
